,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,el calafate,-50.3408,-72.2768,35.26,76,8,5.86,AR,1713773254
276,kavaratti,10.5669,72.642,86.81,70,29,5.95,IN,1713773255
277,avrameni,48.0167,26.95,49.95,63,100,3.94,RO,1713773255
278,i-n-salah,27.1935,2.4607,81.27,13,66,8.12,DZ,1713773256
279,canutama,-6.5339,-64.3831,72.99,99,100,1.52,BR,1713773256
280,twon-brass,4.3151,6.2418,85.42,76,65,9.26,NG,1713773257
281,tres arroyos,-38.3739,-60.2798,50.43,62,100,8.84,AR,1713773257
282,puerto princesa,9.7392,118.7353,87.22,68,29,8.95,PH,1713773258
283,greymouth,-42.4667,171.2,50.13,88,0,4.03,NZ,1713773258
284,ebon,4.582,168.6964,83.43,83,100,13.76,MH,1713773259
285,kwadukuza,-29.3282,31.2895,80.08,52,99,2.33,ZA,1713773259
286,port hueneme,34.1478,-119.1951,55.22,95,79,8.1,US,1713773260
287,mugia,43.1041,-9.2179,55.17,61,5,22.68,ES,1713773260
288,cottage grove,44.8277,-92.9438,42.06,62,11,7.11,US,1713773261
289,dolores,-36.3132,-57.6792,55.69,67,56,12.17,AR,1713773261
290,sitka,57.0531,-135.33,43.36,87,100,4.63,US,1713773262
291,masina,-4.3836,15.3914,80.98,80,93,2.3,CD,1713773262
292,novoul'yanovsk,54.1496,48.3891,64.74,65,100,10.65,RU,1713773263
293,douz,33.4663,9.0203,62.44,52,100,24.09,TN,1713773263
294,gadzhiyevo,69.2551,33.3362,17.44,68,2,20.58,RU,1713773264
295,saudarkrokur,65.7461,-19.6394,38.1,61,100,13.35,IS,1713773265
296,grants,35.1473,-107.8514,53.04,42,1,0.92,US,1713773265
297,la gi,10.6667,107.7833,88.38,56,74,11.52,VN,1713773265
298,kincardine,56.0667,-3.7167,50.68,90,99,3.49,GB,1713773266
299,touros,-5.1989,-35.4608,77.05,92,100,7.25,BR,1713773266
300,kone,-21.0595,164.8658,76.21,91,100,3.58,NC,1713773267
301,ghatkesar,17.4494,78.6853,104.77,16,13,9.82,IN,1713773267
302,nizhneudinsk,54.9076,99.0276,40.59,80,100,5.32,RU,1713773268
303,nar'yan-mar,67.6713,53.087,17.37,88,100,4.0,RU,1713773268
304,saipan,15.1355,145.701,82.31,76,3,16.69,MP,1713773269
305,fada,9.5667,8.3,83.68,53,97,3.89,NG,1713773269
306,baiyin,36.5583,104.2081,56.77,37,100,25.14,CN,1713773270
307,vrangel',42.7297,133.0839,42.33,82,92,16.02,RU,1713773270
308,kayangel,8.0823,134.7173,83.79,81,99,17.63,PW,1713773271
309,hami,42.8,93.45,75.25,10,6,7.11,CN,1713773271
310,laojunmiao,39.8333,97.7333,55.98,15,6,9.19,CN,1713773272
311,porto novo,6.4965,2.6036,82.85,71,100,6.24,BJ,1713773272
312,munoz,15.7161,120.9031,98.46,33,5,15.59,PH,1713773273
313,barcelos,41.5388,-8.6151,59.09,45,1,7.36,PT,1713773273
314,gisborne,-38.6533,178.0042,55.81,85,2,6.82,NZ,1713773274
315,bull savanna,17.8868,-77.5902,73.74,84,0,6.46,JM,1713773274
316,jember,-8.166,113.7032,81.64,91,100,1.57,ID,1713773274
317,swakopmund,-22.6833,14.5333,70.32,56,2,4.7,NA,1713773275
318,alofi,-19.0595,-169.9187,80.15,73,100,11.14,NU,1713773275
319,saint-philippe,-21.3585,55.7679,81.52,77,5,1.99,RE,1713773276
320,sumbe,-11.2061,13.8437,82.72,79,96,3.38,AO,1713773277
321,babayevo,59.3936,35.9371,57.54,69,84,13.71,RU,1713773277
322,dazhou,31.2159,107.5009,61.38,93,100,3.04,CN,1713773278
323,kiunga,-6.1219,141.2906,81.45,88,91,2.59,PG,1713773278
324,minas de marcona,-15.2119,-75.1103,60.71,89,52,7.09,PE,1713773279
325,siwa oasis,29.2041,25.5195,83.41,15,100,17.54,EG,1713773279
326,arkhangel'sk,64.5401,40.5433,29.07,84,100,10.47,RU,1713773280
327,santa ines,-3.6667,-45.38,73.56,98,39,2.39,BR,1713773280
328,burang,30.25,81.1667,38.61,54,12,10.09,CN,1713773281
329,quellon,-43.1167,-73.6167,46.17,87,100,5.55,CL,1713773282
330,sao desiderio,-12.3633,-44.9733,73.18,76,100,4.94,BR,1713773282
331,zemio,5.0314,25.1361,92.35,36,39,3.24,CF,1713773283
332,tralee,52.2704,-9.7026,53.58,81,60,2.24,IE,1713773283
333,fortuna,40.5982,-124.1573,47.26,83,89,2.75,US,1713773284
334,nelson bay,-32.7167,152.15,69.13,61,38,7.05,AU,1713773284
335,aiquile,-18.2041,-65.1807,56.08,85,29,3.53,BO,1713773285
336,wakkanai,45.4094,141.6739,39.13,87,95,11.88,JP,1713773285
337,velenje,46.3592,15.1103,44.8,60,100,3.02,SI,1713773286
338,paita,-5.0892,-81.1144,71.91,81,100,8.88,PE,1713773286
339,merizo village,13.2658,144.6691,81.21,80,28,15.55,GU,1713773286
340,johnson city,36.3134,-82.3535,40.62,71,100,2.15,US,1713773287
341,le treport,50.0598,1.3758,45.45,68,10,6.51,FR,1713773287
342,arraial do cabo,-22.9661,-42.0278,72.41,76,0,15.95,BR,1713773288
343,midoun,33.8081,10.9923,62.31,73,100,18.39,TN,1713773288
344,hasaki,35.7333,140.8333,61.83,70,100,12.3,JP,1713773289
345,port alfred,-33.5906,26.891,74.75,85,78,16.46,ZA,1713773289
346,taradale,-39.5333,176.85,54.23,90,100,13.47,NZ,1713773290
347,callao,-12.0667,-77.15,68.97,90,60,8.41,PE,1713773290
348,new richmond,45.123,-92.5366,38.95,64,18,8.28,US,1713773291
349,priargunsk,50.3691,119.1012,47.01,47,100,16.98,RU,1713773291
350,castillos,-34.1667,-53.8333,63.41,97,100,7.65,UY,1713773292
351,suriapet,17.15,79.6167,107.53,14,4,8.68,IN,1713773292
352,liepaja,56.5419,21.0367,35.37,97,100,19.93,LV,1713773293
353,mutuali,-14.8706,37.0044,81.37,55,4,1.52,MZ,1713773293
354,fernandina beach,30.6697,-81.4626,57.87,85,100,10.47,US,1713773178
355,ixtapa,20.7,-105.2,68.05,44,0,2.55,MX,1713773294
356,klaksvik,62.2266,-6.589,44.06,78,18,8.81,FO,1713773294
357,constitucion,-35.3333,-72.4167,58.23,91,100,23.89,CL,1713773295
358,musan-up,42.2261,129.2078,54.45,67,86,6.35,KP,1713773295
359,bulayevo,54.9056,70.4439,59.65,39,11,7.05,KZ,1713773296
360,la ronge,55.1001,-105.2842,31.93,95,68,5.99,CA,1713773296
361,colares,38.7992,-9.4469,61.7,73,73,8.12,PT,1713773297
362,necochea,-38.5473,-58.7368,52.38,64,100,8.37,AR,1713773297
363,harpswell center,43.8018,-69.9842,39.24,63,0,11.99,US,1713773298
364,lunglei,22.8833,92.7333,96.55,29,100,7.25,IN,1713773298
365,tazovsky,67.4667,78.7,9.21,83,100,12.12,RU,1713773299
366,inderbor,48.55,51.7833,83.44,19,94,13.13,KZ,1713773299
367,xuddur,4.1213,43.8894,81.32,61,100,9.28,SO,1713773300
368,wagar,16.1525,36.2032,96.91,18,8,11.88,SD,1713773300
369,pacific grove,36.6177,-121.9166,53.62,87,55,1.88,US,1713773185
370,newman,37.3138,-121.0208,63.68,69,0,2.68,US,1713773301
371,zhongshu,24.5167,103.7667,84.25,22,65,14.54,CN,1713773301
372,la sarre,48.8002,-79.1996,13.01,87,21,4.09,CA,1713773302
373,arno,60.1167,18.6333,32.02,63,100,19.55,SE,1713773302
374,aasiaat,68.7098,-52.8699,30.09,94,100,9.28,GL,1713773303
375,yuzhno-kurilsk,44.0306,145.8556,35.65,97,100,13.27,RU,1713773303
376,saint-lin-laurentides,45.8501,-73.7659,25.77,63,1,7.99,CA,1713773304
377,maryville,35.7565,-83.9705,40.46,79,89,4.94,US,1713773304
378,maxixe,-23.8597,35.3472,80.22,57,0,7.83,MZ,1713773305
379,port nelson,23.6333,-74.8333,76.55,79,7,12.86,BS,1713773305
380,milazzo,38.2212,15.2383,60.33,56,27,4.07,IT,1713773306
381,elliot lake,46.3834,-82.6331,24.15,68,3,1.1,CA,1713773306
382,primero de mayo,-32.2552,-58.4228,66.24,98,87,4.63,AR,1713773306
383,alaghsas,17.0187,8.0168,93.36,22,8,13.13,NE,1713773307
384,flying fish cove,-10.4217,105.6791,82.72,82,25,17.2,CX,1713773307
385,tomakivka,47.8157,34.7414,56.53,48,100,10.74,UA,1713773308
386,amungan,15.3652,119.9582,85.91,66,0,8.86,PH,1713773308
387,ivdel',60.6911,60.4206,43.99,56,55,7.94,RU,1713773309
388,la grande,45.3246,-118.0877,31.73,71,0,2.82,US,1713773033
389,haliyal,15.3333,74.7667,101.46,25,48,4.38,IN,1713773310
390,mount isa,-20.7333,139.5,79.34,29,1,15.52,AU,1713773310
391,ta'izz,13.5,44.0,78.3,48,31,5.55,YE,1713773311
392,crane,31.3974,-102.3501,52.36,63,100,9.04,US,1713773311
393,russellville,35.2784,-93.1338,41.68,66,0,1.88,US,1713773312
394,mount pearl,47.5166,-52.7813,35.96,93,100,0.85,CA,1713773312
395,east london,-33.0153,27.9116,73.47,89,100,8.97,ZA,1713773195
396,bikenibeu village,1.3673,173.1241,83.79,78,18,10.76,KI,1713773313
397,toumodi,6.5613,-5.0158,77.0,92,100,3.36,CI,1713773313
398,ugoofaaru,5.6667,73.0,86.25,76,100,12.1,MV,1713773314
399,hasilpur,29.7122,72.5553,96.96,14,4,7.9,PK,1713773314
400,ilhabela,-23.7781,-45.3581,68.27,81,0,2.42,BR,1713773315
401,azemmour,33.2895,-8.3425,66.61,65,1,10.71,MA,1713773315
402,el haouaria,37.05,11.0144,61.21,60,22,11.92,TN,1713773316
403,luganville,-15.5333,167.1667,81.25,88,98,1.52,VU,1713773316
404,mabaruma,8.2,-59.7833,72.3,88,98,0.81,GY,1713773317
405,harstad,68.799,16.5293,30.67,56,0,10.09,NO,1713773317
406,broome,42.2506,-75.833,28.74,87,6,3.78,US,1713773318
407,oamaru,-45.0784,170.9801,48.06,62,3,12.19,NZ,1713773318
408,al kharijah,25.4514,30.5464,89.76,8,4,10.51,EG,1713773319
409,alo,7.4178,6.7371,82.49,81,100,2.62,NG,1713773319
410,cam pha mines,21.0167,107.3,77.86,83,99,3.67,VN,1713773320
411,fuding,27.3273,120.214,68.07,99,100,2.98,CN,1713773320
412,martapura,-3.4167,114.85,83.32,88,99,4.09,ID,1713773320
413,xam nua,20.4197,104.0439,96.71,18,96,5.68,LA,1713773321
414,ilovlya,49.3033,43.9796,64.44,38,100,12.35,RU,1713773321
415,praia da vitoria,38.7333,-27.0667,58.1,90,100,6.29,PT,1713773322
416,goderich,43.7501,-81.7165,35.01,71,10,8.63,CA,1713773322
417,mawu,29.5923,107.3139,57.97,93,100,0.38,CN,1713773323
418,jacmel,18.2342,-72.5347,75.87,84,2,3.29,HT,1713773323
419,atherton,53.5237,-2.4935,43.95,83,100,3.36,GB,1713773324
420,sola,-13.8833,167.55,83.39,80,100,11.1,VU,1713773324
421,fortaleza,-3.7227,-38.5247,77.95,89,100,8.79,BR,1713773325
422,malango,-2.9627,119.9001,75.7,96,100,1.86,ID,1713773325
423,as sulayyil,20.4607,45.5779,96.44,9,0,8.99,SA,1713773326
424,ipatovo,45.7181,42.9036,62.91,48,1,4.29,RU,1713773326
425,sesheke,-17.4759,24.2968,81.66,25,0,6.73,ZM,1713773327
426,dryden,49.7833,-92.7503,34.93,73,60,4.92,CA,1713773327
427,telimele,10.9167,-13.3333,74.64,54,95,1.52,GN,1713773328
428,carlow,52.8408,-6.9261,50.0,90,99,7.27,IE,1713773328
429,dhidhdhoo,6.8833,73.1,86.32,75,62,7.78,MV,1713773328
430,le port,-20.9373,55.2919,82.81,75,1,6.11,RE,1713773329
431,"laikit, laikit ii (dimembe)",1.4792,124.9735,82.38,77,70,3.02,ID,1713773330
432,urumqi,43.801,87.6005,73.71,14,0,8.95,CN,1713773330
433,kalmunai,7.4167,81.8167,88.95,66,17,12.06,LK,1713773331
434,port augusta,-32.5,137.7667,74.05,28,2,4.97,AU,1713773331
435,luderitz,-26.6481,15.1594,70.84,54,12,6.96,NA,1713773332
436,ta`u,-14.2336,-169.5144,83.44,80,33,14.9,AS,1713773332
437,tobelo,1.7284,128.0095,84.6,77,49,8.86,ID,1713773333
438,xinyuan,37.3,99.0,47.68,10,73,15.19,CN,1713773333
439,beinamar,8.6698,15.3813,92.43,36,100,7.87,TD,1713773334
440,illapel,-31.6308,-71.1653,53.15,89,8,2.73,CL,1713773334
441,duong dong,10.2167,103.9667,88.93,58,100,9.17,VN,1713773334
442,praia,14.9215,-23.5087,71.19,72,94,10.56,CV,1713773335
443,polignano a mare,40.9959,17.2159,57.43,60,100,7.49,IT,1713773335
444,la palma,33.8464,-118.0467,58.75,82,12,4.54,US,1713773336
445,charters towers,-20.1,146.2667,74.12,46,0,5.19,AU,1713773245
446,sudak,44.85,34.9667,52.59,65,98,4.88,UA,1713773337
447,conduaga,8.862,117.4893,85.3,66,100,2.35,PH,1713773337
448,aktau,43.65,51.2,59.76,79,39,19.17,KZ,1713773338
449,hirara,24.8,125.2833,78.8,85,98,13.91,JP,1713773338
450,urengoy,65.9667,78.3667,9.68,81,100,14.05,RU,1713773339
451,chemmumiahpet,15.8979,79.3213,106.79,16,8,9.95,IN,1713773339
452,bubaque,11.2833,-15.8333,75.74,68,74,6.4,GW,1713773340
453,san luis,-33.295,-66.3356,56.37,95,32,2.15,AR,1713773340
454,freetown,8.484,-13.2299,79.93,83,98,7.65,SL,1713773341
455,turabah,21.2141,41.6331,84.22,12,0,6.8,SA,1713773341
456,bardai,11.65,7.2333,85.69,48,100,13.6,NG,1713773342
457,samana,19.2056,-69.3369,71.94,92,20,5.93,DO,1713773343
458,chenzhou,25.8,113.0333,77.59,74,46,4.0,CN,1713773343
459,terrace,54.5163,-128.6035,40.8,98,100,3.94,CA,1713773344
460,perry,37.2506,-83.1999,34.79,86,6,0.92,US,1713773344
461,joshimath,30.5667,79.5667,64.76,42,94,8.41,IN,1713773345
462,kuressaare,58.2481,22.5039,33.93,79,100,21.21,EE,1713773345
463,st. john's,47.5649,-52.7093,36.36,93,100,1.05,CA,1713773346
464,port douglas,-16.4833,145.4667,76.37,73,67,13.27,AU,1713773346
465,lompoc,34.6391,-120.4579,52.86,95,3,2.01,US,1713773228
466,kanuru,16.2858,81.2546,88.21,68,14,17.07,IN,1713773347
467,al fallujah,33.3538,43.7795,86.74,22,0,19.77,IQ,1713773348
468,nuku'alofa,-21.1333,-175.2,79.03,75,78,13.24,TO,1713773348
469,ceyhan,37.0247,35.8175,71.82,50,17,1.36,TR,1713773349
470,yakoruda,42.0253,23.6842,46.54,77,54,3.09,BG,1713773349
471,onega,63.9061,38.1404,30.88,92,100,14.34,RU,1713773350
472,sredets,42.3475,27.179,58.23,59,0,8.48,BG,1713773350
473,huanggang,23.677,116.9996,78.19,84,85,8.86,CN,1713773351
474,cabedelo,-6.9811,-34.8339,78.62,87,92,6.13,BR,1713773351
475,margate,51.3813,1.3862,45.01,76,4,15.64,GB,1713773351
476,sao gabriel da cachoeira,-0.1303,-67.0892,74.28,97,100,1.88,BR,1713773352
477,priozersk,61.0393,30.1291,35.1,96,100,16.82,RU,1713773352
478,cadereyta,25.5833,-99.9833,60.21,90,100,3.56,MX,1713773353
479,caxito,-8.5785,13.6643,82.96,83,97,4.74,AO,1713773353
480,tanah merah,5.8,102.15,90.9,62,95,6.76,MY,1713773354
481,majene,-3.5403,118.9707,84.72,73,100,5.12,ID,1713773354
482,ciudad acuna,29.3232,-100.9522,62.65,60,100,13.94,MX,1713773355
483,guajara mirim,-10.7828,-65.3394,73.94,98,100,2.82,BR,1713773355
484,atar,20.5169,-13.0499,76.15,22,100,10.18,MR,1713773356
485,sibolga,1.7427,98.7792,84.45,82,100,3.83,ID,1713773356
486,beytussebap,37.5694,43.1681,55.27,50,22,1.03,TR,1713773357
487,montfort-sur-meu,48.1333,-1.9667,46.94,72,16,12.12,FR,1713773357
488,lerwick,60.1545,-1.1494,46.4,80,100,13.56,GB,1713773358
489,talnakh,69.4865,88.3972,11.23,78,97,2.46,RU,1713773358
490,celestun,20.8667,-90.4,75.52,86,4,5.21,MX,1713773358
491,lobujya,27.95,86.8167,29.03,45,87,12.57,NP,1713773359
492,kindu,-2.95,25.95,87.98,56,53,3.98,CD,1713773359
493,laascaanood,8.4774,47.3597,84.74,53,100,4.07,SO,1713773360
494,korsakov,46.6328,142.7813,38.57,81,90,7.45,RU,1713773360
495,eureka,40.8021,-124.1637,50.2,86,99,5.97,US,1713773361
496,dwarka,22.2394,68.9678,83.8,62,0,15.39,IN,1713773361
497,poulsbo,47.7359,-122.6465,40.35,91,33,0.43,US,1713773362
498,berezovyy,51.6667,135.7,45.66,54,76,5.88,RU,1713773362
499,hiriyur,13.9456,76.6192,100.76,19,10,9.33,IN,1713773363
500,soio,-6.1349,12.3689,82.2,82,100,5.68,AO,1713773363
501,carnarvon,-24.8667,113.6333,80.64,45,65,17.98,AU,1713773364
502,sanming,26.2486,117.6186,77.41,76,100,2.73,CN,1713773364
503,maridi,4.9158,29.4742,91.58,32,6,5.06,SS,1713773365
504,bela,25.9333,81.9833,103.23,13,99,13.02,IN,1713773365
505,sidareja,-7.4846,108.7923,87.19,68,69,7.72,ID,1713773366
506,bokoro,12.3807,17.0568,100.47,16,44,7.76,TD,1713773366
507,la alianza,18.3974,-66.6024,70.72,93,16,5.66,PR,1713773366
508,kristiansund,63.1115,7.732,40.23,56,100,3.24,NO,1713773367
509,yaren,-0.5472,166.916,83.98,72,100,6.33,NR,1713773367
510,ippy,6.2679,21.2247,87.06,51,100,4.83,CF,1713773368
511,ilion,38.0333,23.7,65.07,51,100,4.34,GR,1713773368
512,boundiali,9.5217,-6.4869,78.96,62,99,3.51,CI,1713773369
513,zhigalovo,54.8097,105.1578,43.56,60,100,3.91,RU,1713773369
514,kabompo,-13.5927,24.2008,78.3,41,57,7.65,ZM,1713773370
515,kill devil hills,36.0307,-75.676,52.29,59,100,24.2,US,1713773370
516,puerto armuelles,8.2833,-82.8667,77.34,89,60,5.08,PA,1713773371
517,san juan de miraflores,-12.1629,-76.9635,68.41,88,75,6.42,PE,1713773371
518,westport,41.1415,-73.3579,38.59,68,52,8.5,US,1713773372
519,ryotsu-minato,38.0833,138.4333,55.85,67,77,8.77,JP,1713773372
520,prince albert,53.2001,-105.7677,38.1,93,14,5.88,CA,1713773373
521,las veredas,23.1388,-109.7075,77.23,36,0,4.54,MX,1713773373
522,ulimang,7.6242,134.6421,83.44,79,100,16.55,PW,1713773374
523,recreo,-29.2818,-65.061,69.37,89,6,9.55,AR,1713773374
524,vikhorevka,56.1201,101.1636,40.3,57,100,9.95,RU,1713773375
525,kabalo,-6.05,26.9167,83.71,62,32,7.11,CD,1713773375
526,dengi,9.3667,9.95,88.57,49,67,7.25,NG,1713773376
527,pueblo nuevo,23.3833,-105.3833,47.37,42,0,7.31,MX,1713773376
528,ponta delgada,37.7333,-25.6667,61.81,88,100,4.99,PT,1713773377
529,es castell,39.8795,4.2854,53.76,56,95,24.16,ES,1713773377
530,anqing,30.5092,117.0506,77.5,56,57,6.87,CN,1713773378
531,freeport,40.6576,-73.5832,44.38,49,21,12.28,US,1713773378
532,puerto aysen,-45.4,-72.7,30.79,96,98,1.39,CL,1713773379
533,itaituba,-4.2761,-55.9836,72.23,100,83,0.63,BR,1713773379
534,paramonga,-10.6667,-77.8333,68.29,92,69,6.08,PE,1713773380
535,menongue,-14.6585,17.691,76.98,42,0,7.38,AO,1713773381
536,vigan,17.5747,120.3869,86.9,63,7,8.14,PH,1713773381
537,guasdualito,7.2424,-70.7324,73.45,97,94,2.71,VE,1713773381
538,san luis de la loma,17.2706,-100.8939,74.93,63,0,1.95,MX,1713773382
539,wanxian,30.8039,108.3897,64.35,95,100,2.68,CN,1713773382
540,dompu,-8.5356,118.4622,79.39,95,100,1.86,ID,1713773383
541,port blair,11.6667,92.75,90.95,58,11,3.04,IN,1713773383
542,pisco,-13.7,-76.2167,67.41,92,46,0.98,PE,1713773384
543,forster,-32.1667,152.5167,66.49,68,0,4.52,AU,1713773384
544,mersing,2.4312,103.8405,88.39,67,100,6.82,MY,1713773385
545,champerico,14.3,-91.9167,83.14,77,4,4.85,GT,1713773385
546,taquara,-29.6506,-50.7806,61.88,81,99,2.46,BR,1713773386
547,torrington,41.8007,-73.1212,30.42,92,51,3.24,US,1713773386
548,shiqian,27.5225,108.2281,61.3,97,100,2.75,CN,1713773387
549,novodvinsk,64.4165,40.8122,29.53,84,100,10.65,RU,1713773387
550,kopervik,59.2835,5.3067,41.7,67,100,5.57,NO,1713773388
551,kodinsk,58.6881,99.1844,36.18,82,100,8.46,RU,1713773388
552,tuban,-6.8976,112.0649,82.53,80,100,2.84,ID,1713773389
